ISIN,Symbol,Type,Name
INE169A01031,COROMANDEL.NS,EQ,Coromandel International Limited
INE757A01017,COSMOFILMS.NS,EQ,Cosmo Films Limited
INE695B01025,COUNCODOS.NS,EQ,Country Condo's Limited
INE008I01026,COX&KINGS.NS,EQ,Cox & Kings Limited
INE985W01018,CREATIVE.NS,EQ,Creative Peripherals and Distribution Limited
INE230B01021,CREATIVEYE.NS,EQ,Creative Eye Limited
INE741K01010,CREDITACC.NS,EQ,CREDITACCESS GRAMEEN LIMITED
INE559D01011,CREST.NS,EQ,Crest Ventures Limited
INE007A01025,CRISIL.NS,EQ,CRISIL Limited
INE299U01018,CROMPTON.NS,EQ,Crompton Greaves Consumer Electricals Limited
INE679A01013,CSBBANK.NS,EQ,CSB Bank Limited
INE627H01017,CTE.NS,EQ,Cambridge Technology Enterprises Limited
INE491A01021,CUB.NS,EQ,City Union Bank Limited
INE144D01012,CUBEXTUB.NS,EQ,Cubex Tubings Limited
INE298A01020,CUMMINSIND.NS,EQ,Cummins India Limited
INE509F01011,CUPID.NS,EQ,Cupid Limited
INE278G01037,CYBERMEDIA.NS,EQ,Cyber Media (India) Limited
INE214A01019,CYBERTECH.NS,EQ,Cybertech Systems And Software Limited
INE136B01020,CYIENT.NS,EQ,Cyient Limited
INE818H01020,DAAWAT.NS,EQ,LT Foods Limited
INE016A01026,DABUR.NS,EQ,Dabur India Limited
INE00R701025,DALBHARAT.NS,EQ,Dalmia Bharat Limited
INE495A01022,DALMIASUG.NS,EQ,Dalmia Bharat Sugar and Industries Limited
INE497D01022,DAMODARIND.NS,EQ,Damodar Industries Limited
INE688Y01014,DANGEE.NS,EQ,Dangee Dums Limited
INE365B01017,DATAMATICS.NS,EQ,Datamatics Global Services Limited
INE950I01011,DBCORP.NS,EQ,D.B.Corp Limited
INE917M01012,DBL.NS,EQ,Dilip Buildcon Limited
INE879I01012,DBREALTY.NS,EQ,D B Realty Limited
INE921B01025,DBSTOCKBRO.NS,EQ,DB (International) Stock Brokers Limited
INE385W01011,DCAL.NS,EQ,Dishman Carbogen Amcis Limited
INE503A01015,DCBBANK.NS,EQ,DCB Bank Limited
INE498A01018,DCM.NS,EQ,DCM  Limited
INE891B01012,DCMFINSERV.NS,EQ,DCM Financial Services Limited
INE08KP01019,DCMNVL.NS,EQ,DCM Nouvelle Limited
